,CommentCount,DownVotes,Reputation,Score,UpVotes,ViewCount,Views,outliers,postId,userId
1155,0,126,14082,25,4235,,3320,Reputation,74,88
1156,0,126,14082,5,4235,,3320,Reputation,94,88
1157,1,126,14082,7,4235,,3320,Reputation,99,88
1158,3,126,14082,6,4235,,3320,Reputation,119,88
1159,0,126,14082,7,4235,,3320,Reputation,140,88
1160,2,126,14082,5,4235,,3320,Reputation,143,88
1161,1,126,14082,8,4235,,3320,Reputation,255,88
1162,0,126,14082,14,4235,,3320,Reputation,265,88
1163,0,126,14082,5,4235,,3320,Reputation,275,88
1164,1,126,14082,2,4235,,3320,Reputation,309,88
1165,4,126,14082,1,4235,,3320,Reputation,337,88
1166,0,126,14082,2,4235,435.0,3320,Reputation,341,88
1167,0,126,14082,3,4235,,3320,Reputation,343,88
1168,2,126,14082,3,4235,,3320,Reputation,344,88
1169,4,126,14082,6,4235,,3320,Reputation,358,88
1170,2,126,14082,4,4235,,3320,Reputation,360,88
1171,0,126,14082,3,4235,,3320,Reputation,380,88
1172,3,126,14082,109,4235,,3320,Reputation,424,88
1173,1,126,14082,84,4235,,3320,Reputation,435,88
1174,3,126,14082,6,4235,,3320,Reputation,450,88
1175,0,126,14082,8,4235,,3320,Reputation,462,88
1176,4,126,14082,3,4235,,3320,Reputation,464,88
1177,2,126,14082,14,4235,,3320,Reputation,483,88
1178,2,126,14082,6,4235,,3320,Reputation,494,88
1179,7,126,14082,3,4235,,3320,Reputation,501,88
1180,0,126,14082,5,4235,,3320,Reputation,505,88
1181,1,126,14082,3,4235,,3320,Reputation,518,88
1182,0,126,14082,7,4235,466.0,3320,Reputation,526,88
1183,0,126,14082,8,4235,,3320,Reputation,547,88
1184,0,126,14082,5,4235,,3320,Reputation,559,88
1185,1,126,14082,2,4235,,3320,Reputation,565,88
1186,2,126,14082,0,4235,,3320,Reputation,574,88
1187,11,126,14082,6,4235,,3320,Reputation,579,88
1188,2,126,14082,3,4235,247.0,3320,Reputation,602,88
1189,1,126,14082,1,4235,,3320,Reputation,605,88
1190,3,126,14082,2,4235,,3320,Reputation,615,88
1191,0,126,14082,3,4235,,3320,Reputation,621,88
1192,0,126,14082,22,4235,4341.0,3320,Reputation,631,88
1193,4,126,14082,1,4235,,3320,Reputation,636,88
1194,0,126,14082,5,4235,,3320,Reputation,654,88
1195,13,126,14082,14,4235,,3320,Reputation,658,88
1196,2,126,14082,6,4235,,3320,Reputation,667,88
1197,4,126,14082,3,4235,,3320,Reputation,733,88
1198,3,126,14082,2,4235,,3320,Reputation,734,88
1199,2,126,14082,3,4235,,3320,Reputation,759,88
1200,0,126,14082,0,4235,,3320,Reputation,771,88
1201,0,126,14082,4,4235,,3320,Reputation,792,88
1202,2,126,14082,5,4235,,3320,Reputation,842,88
1203,1,126,14082,0,4235,,3320,Reputation,850,88
1204,3,126,14082,6,4235,,3320,Reputation,908,88
1205,6,126,14082,3,4235,,3320,Reputation,910,88
1206,0,126,14082,3,4235,,3320,Reputation,914,88
1207,2,126,14082,1,4235,,3320,Reputation,930,88
1208,0,126,14082,2,4235,,3320,Reputation,960,88
1209,6,126,14082,10,4235,,3320,Reputation,1004,88
1210,0,126,14082,2,4235,,3320,Reputation,1018,88
1211,3,126,14082,2,4235,,3320,Reputation,1019,88
1212,0,126,14082,2,4235,,3320,Reputation,1020,88
1213,0,126,14082,2,4235,,3320,Reputation,1021,88
1214,0,126,14082,4,4235,,3320,Reputation,1106,88
1215,5,126,14082,2,4235,,3320,Reputation,1183,88
1216,7,126,14082,3,4235,,3320,Reputation,1263,88
1217,3,126,14082,0,4235,,3320,Reputation,1290,88
1218,3,126,14082,1,4235,,3320,Reputation,1294,88
1219,2,126,14082,6,4235,,3320,Reputation,1322,88
1220,0,126,14082,2,4235,,3320,Reputation,1362,88
1221,1,126,14082,2,4235,,3320,Reputation,1372,88
1222,0,126,14082,1,4235,,3320,Reputation,1373,88
1223,3,126,14082,7,4235,,3320,Reputation,1374,88
1224,1,126,14082,2,4235,,3320,Reputation,1702,88
1225,0,126,14082,0,4235,,3320,Reputation,1712,88
1226,0,126,14082,8,4235,,3320,Reputation,1765,88
1227,4,126,14082,3,4235,,3320,Reputation,1791,88
1228,0,126,14082,2,4235,,3320,Reputation,1798,88
1229,3,126,14082,4,4235,,3320,Reputation,1840,88
1230,5,126,14082,2,4235,,3320,Reputation,1858,88
1231,1,126,14082,2,4235,,3320,Reputation,1890,88
1232,4,126,14082,3,4235,,3320,Reputation,1946,88
1233,0,126,14082,2,4235,,3320,Reputation,1950,88
1234,2,126,14082,3,4235,,3320,Reputation,1984,88
1235,3,126,14082,3,4235,,3320,Reputation,2097,88
1236,3,126,14082,2,4235,,3320,Reputation,2157,88
1237,0,126,14082,17,4235,2486.0,3320,Reputation,2179,88
1238,1,126,14082,5,4235,,3320,Reputation,2206,88
1239,0,126,14082,1,4235,,3320,Reputation,2225,88
1240,0,126,14082,6,4235,,3320,Reputation,2246,88
1241,0,126,14082,0,4235,,3320,Reputation,2254,88
1242,1,126,14082,2,4235,,3320,Reputation,2340,88
1243,4,126,14082,5,4235,,3320,Reputation,2355,88
1244,0,126,14082,8,4235,,3320,Reputation,2359,88
1245,7,126,14082,10,4235,,3320,Reputation,2362,88
1246,0,126,14082,0,4235,,3320,Reputation,2416,88
