,date,Gross Sales,Discounts,Net Sales,Tax,Total Collected,Cash,Card,PayPay
0,2019-01-01,306,0,306,24,330,330,0,0
1,2019-01-01,1120,0,1120,80,1200,1200,0,0
2,2019-01-01,769,0,769,61,830,830,0,0
3,2019-01-01,1028,0,1028,82,1110,1110,0,0
4,2019-01-01,260,0,260,20,280,280,0,0
5,2019-01-01,629,0,629,41,670,670,0,0
6,2019-01-01,2389,0,2389,191,2580,2580,0,0
7,2019-01-01,260,0,260,20,280,280,0,0
8,2019-01-01,311,0,311,24,335,335,0,0
9,2019-01-01,1047,0,1047,83,1130,1130,0,0
10,2019-01-01,260,0,260,20,280,280,0,0
11,2019-01-01,112,0,112,8,120,120,0,0
12,2019-01-01,760,0,760,60,820,820,0,0
13,2019-01-01,690,0,690,55,745,745,0,0
14,2019-01-01,639,0,639,51,690,690,0,0
15,2019-01-01,1519,0,1519,121,1640,1640,0,0
16,2019-01-01,1112,0,1112,88,1200,1200,0,0
17,2019-01-01,1751,0,1751,139,1890,1890,0,0
18,2019-01-01,1490,0,1490,110,1600,1600,0,0
19,2019-01-01,1926,0,1926,154,2080,2080,0,0
20,2019-01-01,686,0,686,54,740,740,0,0
21,2019-01-01,1972,0,1972,148,2120,2120,0,0
22,2019-01-01,1445,0,1445,115,1560,1560,0,0
23,2019-01-01,1112,0,1112,88,1200,1200,0,0
24,2019-01-01,1815,0,1815,145,1960,1960,0,0
25,2019-01-01,139,0,139,11,150,150,0,0
26,2019-01-01,1018,0,1018,72,1090,1090,0,0
27,2019-01-01,1815,0,1815,145,1960,1960,0,0
28,2019-01-01,288,0,288,22,310,310,0,0
29,2019-01-01,575,0,575,45,620,620,0,0
30,2019-01-01,751,0,751,59,810,810,0,0
31,2019-01-01,1815,0,1815,145,1960,1960,0,0
32,2019-01-01,408,0,408,32,440,440,0,0
33,2019-01-01,1334,0,1334,106,1440,1440,0,0
34,2019-01-01,1084,0,1084,86,1170,1170,0,0
35,2019-01-01,389,0,389,31,420,420,0,0
36,2019-01-01,1343,0,1343,107,1450,1450,0,0
