Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
1,2006-03-24,22:30:00,Falcon 1,Kwajalein Atoll,FalconSAT-2,43.0,LEO,'DARPA',False,
2,2007-03-21,01:10:00,Falcon 1,Kwajalein Atoll,DemoSAT,,LEO,'DARPA',False,
3,2008-08-02,03:34:00,Falcon 1,Kwajalein Atoll,Trailblazer,,LEO,'NASA',False,
4,2008-09-28,23:15:00,Falcon 1,Kwajalein Atoll,RatSat,363.0,LEO,'SpaceX',True,
5,2009-07-13,03:35:00,Falcon 1,Kwajalein Atoll,RazakSAT,440.0,LEO,'ATSB',True,
6,2010-06-04,18:45:00,Falcon 9,CCAFS SLC 40,Dragon Qualification Unit,,LEO,'SpaceX',True,
7,2010-12-08,15:43:00,Falcon 9,CCAFS SLC 40,COTS Demo Flight 1,,,False,True,
8,2012-05-22,07:44:00,Falcon 9,CCAFS SLC 40,COTS Demo Flight 2,525.0,1157,False,True,
9,2012-10-08,00:35:00,Falcon 9,CCAFS SLC 40,CRS-1,400.0,881,False,True,
10,2013-03-01,19:10:00,Falcon 9,CCAFS SLC 40,CRS-2,677.0,1492,False,True,
11,2013-09-29,16:00:00,Falcon 9,VAFB SLC 4E,CASSIOPE,1100.0,PO,'MDA',True,False
12,2013-12-03,22:41:00,Falcon 9,CCAFS SLC 40,SES-8,6990.0,GTO,'SES',True,
13,2014-01-06,18:06:00,Falcon 9,CCAFS SLC 40,Thaicom 6,7330.0,GTO,'Thaicom',True,
14,2014-04-18,19:25:00,Falcon 9,CCAFS SLC 40,CRS-3,2296.0,5062,False,True,True
15,2014-07-14,15:15:00,Falcon 9,CCAFS SLC 40,Orbcomm-OG2-M1,2901.0,LEO,'Orbcomm',True,True
16,2014-08-05,08:00:00,Falcon 9,CCAFS SLC 40,AsiaSat 8,9998.0,GTO,'AsiaSat',True,
17,2014-09-07,05:00:00,Falcon 9,CCAFS SLC 40,AsiaSat 6,9762.0,GTO,'AsiaSat',True,
18,2014-09-21,05:52:00,Falcon 9,CCAFS SLC 40,CRS-4,2216.0,4885,False,True,False
19,2015-01-10,09:47:00,Falcon 9,CCAFS SLC 40,CRS-5,2395.0,5280,False,True,False
20,2015-02-11,23:03:00,Falcon 9,CCAFS SLC 40,DSCOVR,1260.0,ES-L1,"'NASA', 'NOAA', 'USAF'",True,True
21,2015-03-02,03:50:00,Falcon 9,CCAFS SLC 40,ABS-3A,4307.0,GTO,'ABS',True,
22,2015-04-14,20:10:00,Falcon 9,CCAFS SLC 40,CRS-6,1898.0,4184,C108,True,False
23,2015-04-27,23:03:00,Falcon 9,CCAFS SLC 40,TürkmenÄlem 52°E / MonacoSAT,10377.0,GTO,'Turkmenistan National Space Agency',True,
24,2015-06-28,14:21:00,Falcon 9,CCAFS SLC 40,CRS-7,2477.0,5460.9,C109,False,
25,2015-12-22,01:29:00,Falcon 9,CCAFS SLC 40,Orbcomm-OG2-M2,4484.0,LEO,'Orbcomm',True,True
26,2016-01-17,15:42:00,Falcon 9,VAFB SLC 4E,Jason-3,1219.0,PO,"'NASA', 'NOAA'",True,False
27,2016-03-04,23:35:00,Falcon 9,CCAFS SLC 40,SES-9,11621.0,GTO,'SES',True,False
28,2016-04-08,20:43:00,Falcon 9,CCAFS SLC 40,CRS-8,3136.0,6914,False,True,True
29,2016-05-06,05:21:00,Falcon 9,CCAFS SLC 40,JCSAT-2B,10353.0,GTO,'SKY Perfect JSAT Group',True,True
30,2016-05-27,21:39:00,Falcon 9,CCAFS SLC 40,Thaicom 8,6800.0,GTO,'Thaicom',True,True
