,Year,Country,Winner,Runners-Up,Result,Third,Fourth,GoalsScored,QualifiedTeams,Hosts,Venues/Cities,Total_Attendance,Matches,Avg_Attend,Highest_Attend,H.A Venue,H.A Game,Top Scorer(s),Nationality,Matches Played,Goals Scored,Golden Ball Winner,G.B.W.Nationality
0,1930,Uruguay,Uruguay,Argentina,4-2,USA,Yugoslavia,70.0,13.0, Uruguay,3/1,"590,549",18,"32,808","93,000","Estadio Centenario, Montevideo","Uruguay 6–1 Yugoslavia, Semi-final",Guillermo Stabile,Argentina,4,8,José Nasazzi,Uruguay
1,1934,Italy,Italy,Czechoslovakia,2-1 (a.e.t),Germany,Austria,70.0,16.0, Italy,8/8,"363,000",17,"21,353","55,000","Stadio Nazionale PNF, Rome","Italy 2–1 Czechoslovakia, Final",Angelo Schiavio,Italy,4,4,Giuseppe Meazza,Italy
2,1938,France,Italy,Hungary,2-4,Brazil,Sweden,84.0,15.0, France,10/9,"375,700",18,"20,872","58,455","Olympique de Colombes, Paris","France 1–3 Italy, Quarter-final",Leonidas da Silva,Brazil,4,8,Leônidas,Brazil
3,1950,Brazil,Uruguay,Brazil,2-1,Sweden,Spain,88.0,13.0, Brazil,6/6,"1,045,246",22,"47,511","173,850","Maracanã Stadium, Rio de Janeiro","Brazil 1–2 Uruguay, Deciding match",Marques Ademir,Brazil,6,7,Zizinho,Brazil
4,1954,Switzerland,Germany FR,Hungary,3-2,Austria,Uruguay,140.0,16.0,  Switzerland,6/6,"768,607",26,"29,562","63,000","Wankdorf Stadium, Bern","West Germany 3–2 Hungary, Final",Sandor Kocsis,Hungary,5,11,Ferenc Puskás,Hungary
5,1958,Sweden,Brazil,Sweden,5-2,France,Germany FR,126.0,16.0, Sweden,12/12,"819,810",35,"23,423","50,928","Ullevi Stadium, Gothenburg","Brazil 2–0 Soviet Union, Group stage",Just Fontaine,France,6,13,Didi,Brazil
6,1962,Chile,Brazil,Czechoslovakia,3-1,Chile,Yugoslavia,89.0,16.0, Chile,4/4,"893,172",32,"27,912","68,679","Estadio Nacional, Santiago","Brazil 4–2 Chile, Semi-final",Drazen Jerkovic,Yugoslavia,6,5,Garrincha,Brazil
7,1966,England,England,Germany FR, 4-2 (a.e.t.),Portugal,Soviet Union,89.0,16.0, England,8/7,"1,563,135",32,"48,848","98,270","Wembley Stadium, London","England 4–2 West Germany, Final",Ferreira Eusebio,Portugal,6,9,Bobby Charlton,England
8,1970,Mexico,Brazil,Italy,4-1,Germany FR,Uruguay,95.0,16.0, Mexico,5/5,"1,603,975",32,"50,124","108,192","Estadio Azteca, Mexico City","Mexico 1–0 Belgium, Group stage",Gerd Muller,West Germany,6,10,Pelé,Brazil
9,1974,Germany,Germany FR,Netherlands,1-2,Poland,Brazil,97.0,16.0, West Germany,9/9,"1,865,753",38,"49,099","83,168","Olympiastadion, West Berlin","West Germany 1–0 Chile, Group stage",Grzegorz Lato,Poland,7,7,Johan Cruyff,Netherlands
