,name,number_of_employees,founded_year,city,latitude,longitude
0,Google,28000,1998.0,Seattle,47.675326,-122.351397
1,Google,28000,1998.0,Seattle,47.649701,-122.350592
2,Farecast,26,2003.0,Seattle,47.620982,-122.359397
3,Newsvine,8,2005.0,Seattle,47.618599,-122.358484
4,iLike,28,2002.0,Seattle,47.615313,-122.323408
5,Redfin,100,2004.0,Seattle,47.603122,-122.333253
6,Wishpot,10,2006.0,Seattle,47.620716,-122.347533
7,PayScale,130,1999.0,Seattle,47.5999337,-122.3276962
8,BuddyTV,20,2005.0,Seattle,47.61968,-122.356756
9,dpreview,13,1998.0,Seattle,55.378051,-3.435973
10,YouBeQB,8,2008.0,Bellevue,47.597965,-122.151158
11,FlowPlay,30,2006.0,Seattle,47.6015315,-122.335943
12,Zillow,600,2005.0,Seattle,47.6011125,-122.3293984
13,Moz,130,2002.0,Seattle,47.620716,-122.347533
14,AdReady,33,2006.0,Seattle,47.649027,-122.346299
15,The Climate Corporation,150,2006.0,Seattle,47.5984767,-122.3331466
16,Microsoft,90000,1974.0,Redmond,47.643583,-122.128585
17,RealSelf,23,2006.0,Seattle,47.620716,-122.347533
18,Snapvine,20,2005.0,Seattle,47.598968,-122.332904
19,Livemocha,35,2007.0,Seattle,47.6399006,-122.1914274
20,Expedia,4400,1996.0,Bellevue,47.58181,-122.154837
21,eNotes,11,2004.0,Seattle,47.615313,-122.323408
22,Survey Analytics,100,2003.0,Seattle,47.650674,-122.349863
23,TalentSpring,9,2006.0,Seattle,47.680496,-122.120938
24,Limeade,55,2006.0,Bellevue,47.6097449,-122.196699
25,Movaya,20,2006.0,Seattle,47.66274,-122.300863
26,LyfeSystems,9,2007.0,Seattle,47.634444,-122.3419
27,Escapia,23,2000.0,Seattle,47.613896,-122.3413
28,Shelfari,11,2006.0,Seattle,47.620716,-122.347533
29,Evri,35,2007.0,Seattle,47.620716,-122.347533
30,CarDomain Network,13,1999.0,Seattle,47.634741,-122.340435
31,Seattle Software,6,2000.0,Seattle,47.625511,-122.344966
32,Daptiv,150,1997.0,Seattle,47.604279,-122.337437
33,TeachStreet,8,2007.0,Seattle,47.6171788,-122.3370801
34,PurpleTrail,35,2007.0,Bellevue,47.584224,-122.19292
35,Estately,6,2006.0,Seattle,47.273017,-120.882482
36,Versaly Entertainment,15,2000.0,Bellevue,47.626479,-122.205149
37,Intelius,131,2003.0,Bellevue,47.614723,-122.196262
38,NitroDesk,8,2008.0,Bellevue,47.584975,-122.132013
39,thePlatform,130,2000.0,Seattle,47.617838,-122.356027
40,Synology,70,2000.0,Redmond,47.634824,-122.13771
41,Avidian Technologies,30,2002.0,Redmond,47.628895,-122.138507
42,DatStat,25,1997.0,Seattle,47.6490908,-122.3466877
43,WebStarts,15,2007.0,Bellevue,27.937603,-82.2871293
44,Likewise Software,50,2004.0,Bellevue,47.582658,-122.135282
45,Onehub,10,2007.0,Seattle,47.580235,-122.145038
46,Atigeo,50,2005.0,Bellevue,47.6174533,-122.2016685
47,Swype,80,2002.0,Seattle,47.6495905,-122.3497956
48,Likewise Software,50,2004.0,Bellevue,47.582658,-122.135282
49,Onehub,10,2007.0,Seattle,47.580235,-122.145038
50,Atigeo,50,2005.0,Bellevue,47.6174533,-122.2016685
51,Swype,80,2002.0,Seattle,47.6495905,-122.3497956
52,Pathable,18,2007.0,Seattle,47.657435,-122.324861
53,F5 Networks,1650,1996.0,Seattle,47.622263,-122.363276
54,Artefact,18,2006.0,Seattle,47.611718,-122.345874
55,findwell,7,2008.0,Seattle,47.627368,-122.34229
56,AskMe Corp,40,2000.0,Bellevue,47.582658,-122.135282
57,Pharmacy OneSource,60,2001.0,Bellevue,47.579884,-122.168877
58,NuWire,10,2007.0,Bellevue,47.615044,-122.171758
59,Xeround,40,2005.0,Bellevue,47.5827406,-122.1353561
60,Decho,150,2008.0,Seattle,47.6024156,-122.3326145
61,Random Computers,18,1998.0,Seattle,47.611215,-122.3408776
62,Ramp Technology Group,75,2000.0,Bellevue,47.61251,-122.1962236
63,Produxs,10,2006.0,Seattle,47.5753035,-122.3342499
64,Tableau Software,92,2003.0,Seattle,47.6504518,-122.3545086
65,Aztecsoft,2000,1995.0,Bellevue,47.6314974,-122.1680127
66,Good Technology,800,1996.0,Seattle,47.6246175,-122.35931
67,Medio,90,2004.0,Seattle,47.611827,-122.331308
68,Concur Technologies,1200,1993.0,Redmond,51.5200277,-0.651155
69,Skytap,200,2006.0,Seattle,47.544341,-122.334732
70,L4 Mobile,25,2008.0,Seattle,47.676762,-122.2049192
71,Optify,45,2008.0,Seattle,47.603364,-122.333359
72,NetMotion Wireless,107,2001.0,Seattle,47.649392,-122.3486837
73,StoreBlogs,10,2009.0,Redmond,47.6859063,-122.141024
74,Z2Live,130,2009.0,Seattle,47.6103008,-122.3399782
75,ExtraHop Networks,50,2007.0,Seattle,47.6209107,-122.361239
76,Nirvaha,14,2007.0,Bellevue,47.6008008,-122.3342585
77,Altus Alliance,10,1999.0,Seattle,47.603176,-122.3333044
78,Ingeniux,35,1999.0,Seattle,47.6146338,-122.3408187
79,MAQ Software,250,2000.0,Redmond,47.632945,-122.133449
80,Glympse,20,2008.0,Seattle,47.6220245,-122.3350847
81,Voxmobili,80,1999.0,Bellevue,47.6138045,-122.1948914
82,Optimum Energy,65,2005.0,Seattle,47.598657,-122.334614
83,MicroVision,110,1993.0,Redmond,47.6614954,-122.0943198
84,Netupdate,50,1998.0,Bellevue,47.6325767,-122.1537577
