iter	MultiClass
0	2.729947435
1	2.480152778
2	2.303572418
3	2.172212508
4	2.054217263
5	1.948584
6	1.852206457
7	1.771982876
8	1.699083655
9	1.630627556
10	1.568052259
11	1.514814848
12	1.456673288
13	1.405332634
14	1.360312005
15	1.313726508
16	1.279875358
17	1.241142648
18	1.207841061
19	1.174251601
20	1.142010842
21	1.112237147
22	1.087215055
23	1.061520219
24	1.03658637
25	1.014174488
26	0.9897105399
27	0.9661645065
28	0.944835395
29	0.9229929596
30	0.9046518145
31	0.8876936945
32	0.8712259005
33	0.8547988217
34	0.83838726
35	0.8266650939
36	0.8125809265
37	0.7984402878
38	0.7859738431
39	0.7726122565
40	0.7587884944
41	0.7463882166
42	0.7325167497
43	0.7201330722
44	0.7115494645
45	0.7010727679
46	0.6918735516
47	0.6838938362
48	0.675270178
49	0.6669363079
50	0.6588900481
51	0.6493619103
52	0.6410712806
53	0.6337747028
54	0.6245196695
55	0.617195081
56	0.6125349466
57	0.6076376341
58	0.6003784668
59	0.5935951024
60	0.5891707912
61	0.5831409144
62	0.5768493177
63	0.5712105296
64	0.5640436126
65	0.5593494367
66	0.5533338216
67	0.5464318285
68	0.5403338193
69	0.5359951156
70	0.5289415656
71	0.5245650072
72	0.5185379004
