iter	Passed	Remaining
0	5560	5554979
1	10650	5314430
2	15708	5220509
3	21195	5277558
4	26688	5311105
5	32031	5306479
6	38022	5393762
7	43656	5413392
8	49720	5474751
9	56044	5548401
10	61969	5571595
11	68391	5630885
12	73788	5602240
13	79131	5573097
14	84869	5573114
15	90005	5535336
16	95894	5544939
17	101789	5553176
18	106917	5520317
19	111859	5481108
20	117250	5466099
21	122313	5437395
22	127098	5398904
23	132327	5381307
24	137518	5363225
25	142528	5339340
26	147438	5313253
27	153881	5341875
28	160726	5381555
29	166440	5381570
30	171388	5357276
31	176326	5333880
32	182053	5334710
33	187173	5317935
34	192226	5299956
35	197852	5298054
36	203554	5297923
37	208567	5280060
38	213920	5271227
39	218849	5252381
40	224314	5246778
41	230535	5258399
42	236167	5256100
43	241232	5241330
44	246964	5241129
45	252505	5236746
46	258223	5235893
47	264013	5236260
48	269320	5227006
49	274843	5222033
50	281255	5233552
51	286658	5226009
52	292028	5217950
53	297916	5219063
54	303668	5217570
55	309588	5218783
56	315044	5212057
57	320315	5202372
58	326305	5204288
59	331813	5198409
60	337243	5191341
61	342701	5184737
62	348087	5177110
63	353298	5166994
64	359167	5166486
65	364713	5161253
66	370025	5152749
67	375746	5149944
68	380968	5140315
69	386121	5129897
70	392027	5129480
71	397568	5124214
72	403412	5122785
